City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ribeira Grande,38.5167,-28.7,15.22,67,40,2.57,PT,1644782521
Severo-Kuril'sk,50.6789,156.125,-5.6,70,36,4.57,RU,1644782652
Isangel,-19.55,169.2667,26.06,94,40,2.06,VU,1644782396
San Patricio,28.017,-97.5169,18.42,22,0,3.1,US,1644782652
Hūn,29.1268,15.9477,13.21,38,0,4.36,LY,1644782562
Ushuaia,-54.8,-68.3,4.81,81,75,16.98,AR,1644782652
College,64.8569,-147.8028,-9.56,82,100,0.0,US,1644782653
Santa Cruz de la Sierra,-17.8,-63.1667,28.52,45,94,3.8,BO,1644782405
Khatanga,71.9667,102.5,-31.32,93,83,1.24,RU,1644782467
Shahreza,32.0339,51.8794,4.64,52,0,2.16,IR,1644782653
Carnarvon,-24.8667,113.6333,24.04,88,3,1.54,AU,1644782654
Avarua,-21.2078,-159.775,27.03,78,100,2.06,CK,1644782654
Ojinaga,29.5667,-104.4167,17.54,30,0,2.06,MX,1644782365
Cidreira,-30.1811,-50.2056,21.29,91,100,3.44,BR,1644782559
Castro,-24.7911,-50.0119,27.58,52,6,1.3,BR,1644782477
Rikitea,-23.1203,-134.9692,25.7,72,76,5.41,PF,1644782655
Namatanai,-3.6667,152.4333,25.94,80,100,1.85,PG,1644782655
Hithadhoo,-0.6,73.0833,27.86,75,67,4.23,MV,1644782477
Hilo,19.7297,-155.09,25.69,83,3,1.79,US,1644782463
Jiaxing,30.7522,120.75,6.12,87,1,2.7,CN,1644782655
Saint-François,46.4154,3.9054,9.26,65,0,8.75,FR,1644782656
Atar,20.5169,-13.0499,22.1,17,100,4.05,MR,1644782656
Ende,-8.8432,121.6623,24.91,84,80,0.56,ID,1644782656
Atuona,-9.8,-139.0333,25.3,79,24,6.59,PF,1644782657
Avera,33.194,-82.5271,15.38,23,13,7.66,US,1644782657
Ouésso,1.6136,16.0517,25.88,29,99,0.27,CG,1644782657
Comodoro Rivadavia,-45.8667,-67.5,27.92,32,40,7.72,AR,1644782484
Orleans,30.0335,-89.9501,13.92,34,0,8.23,US,1644782657
Saddiqabad,28.3062,70.1307,17.04,24,0,4.33,PK,1644782658
Mar del Plata,-38.0023,-57.5575,19.93,60,7,3.58,AR,1644782488
Lebyazh'ye,55.2689,66.4947,-16.17,98,100,2.39,RU,1644782658
Grand-Lahou,5.1367,-5.0242,25.84,86,100,2.32,CI,1644782659
Cabo San Lucas,22.8909,-109.9124,29.61,56,75,3.6,MX,1644782659
Chālūs,36.655,51.4204,8.71,83,100,2.72,IR,1644782659
Narsaq,60.9167,-46.05,-4.26,90,100,3.13,GL,1644782660
Cape Town,-33.9258,18.4232,20.71,83,10,3.13,ZA,1644782660
Laredo,27.5064,-99.5075,18.0,18,0,2.57,US,1644782660
Balotra,25.8333,72.2333,18.2,21,0,1.93,IN,1644782660
Bengkulu,-3.8004,102.2655,24.56,89,100,1.77,ID,1644782661
Tasiilaq,65.6145,-37.6368,-6.91,71,100,4.42,GL,1644782661
Barrow,71.2906,-156.7887,-30.65,100,100,3.64,US,1644782401
Bluff,-46.6,168.3333,9.89,87,9,2.73,NZ,1644782469
Talnakh,69.4865,88.3972,-21.81,70,17,4.09,RU,1644782661
Bredasdorp,-34.5322,20.0403,20.16,80,92,6.05,ZA,1644782497
Provideniya,64.3833,-173.3,-25.82,95,19,1.41,RU,1644782531
